,Date,Change,Price
373,11/9/87,-8.7%,0.4812213495254565
374,11/10/87,-5.2%,0.4561978393501327
375,11/11/87,3.6%,0.4726209615667375
376,11/12/87,8.2%,0.51137588041521
377,11/13/87,-3.5%,0.4934777246006776
378,11/16/87,1.3%,0.4998929350204864
379,11/17/87,-4.5%,0.4773977529445645
380,11/18/87,3.1%,0.49219708328584594
381,11/19/87,-6.8%,0.4587276816224084
382,11/20/87,2.6%,0.47065460134459103
383,11/23/87,1.0%,0.4753611473580369
384,11/24/87,4.2%,0.4953263155470745
385,11/25/87,-2.8%,0.4814571787117564
386,11/27/87,-0.1%,0.4809757215330447
387,11/30/87,-17.1%,0.398728873150894
388,12/1/87,2.4%,0.4082983661065155
389,12/2/87,1.7%,0.4152394383303262
390,12/3/87,-10.6%,0.37122405786731166
391,12/4/87,-1.8%,0.36454202482570003
392,12/7/87,6.4%,0.38787271441454485
393,12/8/87,8.0%,0.41890253156770846
394,12/9/87,5.1%,0.44026656067766157
395,12/10/87,-6.6%,0.41120896767293585
396,12/11/87,2.1%,0.4198443559940675
397,12/14/87,8.7%,0.4563708149655514
398,12/15/87,0.7%,0.4595654106703102
399,12/16/87,6.4%,0.4889775969532101
400,12/17/87,-6.2%,0.458660985942111
401,12/18/87,7.7%,0.4939778818596536
402,12/21/87,0.3%,0.4954598155052325
403,12/22/87,0.4%,0.49744165476725344
404,12/23/87,3.9%,0.5168418793031763
405,12/24/87,-1.2%,0.5106397767515382
406,12/28/87,-7.8%,0.4708098741649182
407,12/29/87,-1.3%,0.46468934580077426
408,12/30/87,3.9%,0.48281223028700443
409,12/31/87,-0.9%,0.4784669202144214
410,1/4/88,10.5%,0.5287059468369356
411,1/5/88,3.3%,0.5461532430825544
412,1/6/88,0.3%,0.547791702811802
413,1/7/88,2.4%,0.5609387036792852
414,1/8/88,-20.2%,0.44762908553606967
415,1/11/88,4.9%,0.4695629107273371
416,1/12/88,-2.5%,0.45782383795915366
417,1/13/88,0.6%,0.46057078098690857
418,1/14/88,0.0%,0.46057078098690857
419,1/15/88,7.5%,0.4951135895609267
420,1/18/88,-0.2%,0.4941233623818049
421,1/19/88,-3.2%,0.4783114147855871
422,1/20/88,-8.1%,0.43956819018795457
423,1/21/88,0.6%,0.4422055993290823
424,1/22/88,4.1%,0.46033602890157466
425,1/25/88,6.9%,0.4920992148957833
426,1/26/88,-3.0%,0.47733623844890977
427,1/27/88,-0.3%,0.47590422973356306
428,1/28/88,4.7%,0.4982717285310405
429,1/29/88,4.4%,0.5201956845864063
430,2/1/88,-2.4%,0.5077109881563325
431,2/2/88,0.7%,0.5112649650734268
