Date,Price,High,Low,Close,Adj Close,Volume
2021-03-12,43.455002,44.165001,43.16,44.119999,44.08091,7834200
2021-03-15,44.205002,45,43.439999,44.915001,44.875214,6305600
2021-03-16,45.119999,45.380001,44.450001,44.755001,44.715355,6973200
2021-03-17,44.27,45.474998,43.845001,45.165001,45.124989,8504200
2021-03-18,44.240002,44.994999,43,43.200001,43.161732,10932600
2021-03-19,43.105,43.650002,42.189999,42.970001,42.931934,8538200
2021-03-22,43.125,44.48,43.119999,43.955002,43.916061,7587800
2021-03-23,43.75,44.264999,42.654999,42.950001,42.926113,9710600
2021-03-24,43.435001,44.005001,42.275002,42.275002,42.251488,8244600
2021-03-25,41.775002,43.27,41.095001,42.970001,42.946102,11545800
2021-03-26,43.400002,45.195,43.18,45.075001,45.049931,10852800
2021-03-29,44.514999,45.305,43.974998,44.990002,44.964981,11301200
2021-03-30,44.544998,44.869999,44.049999,44.615002,44.590187,8918600
2021-03-31,44.834999,45.724998,44.825001,45.169998,45.144875,11006000
2021-04-01,45.860001,46.639999,45.779999,46.575001,46.549099,10146600
2021-04-05,47.615002,48.830002,47.59,48.595001,48.567974,10349200
2021-04-06,48.419998,48.93,48.294998,48.52,48.493015,9015400
2021-04-07,48.485001,48.830002,48.290001,48.715,48.687908,6547800
2021-04-08,49.174999,49.41,48.825001,49.380001,49.352539,5686000
2021-04-09,49.369999,50.529999,49.294998,50.455002,50.426941,6527000
2021-04-12,50.209999,50.619999,49.990002,50.5,50.471912,5920000
2021-04-13,50.465,51.205002,50.325001,50.924999,50.896675,6068000
2021-04-14,50.950001,51.365002,50.220001,50.435001,50.406952,9262400
2021-04-15,51.264999,52.154999,51.255001,52.049999,52.021049,7601600
2021-04-16,52.575001,52.82,52.005001,52.610001,52.580742,9362400
2021-04-19,52.189999,52.380001,51.255001,51.82,51.79118,8908000
2021-04-20,51.290001,51.595001,50.084999,50.689999,50.661808,9427400
2021-04-21,50.419998,52.165001,50.365002,52.09,52.061028,7360600
2021-04-22,52.029999,52.345001,50.240002,50.68,50.651814,11929200
2021-04-23,50.884998,52.855,50.860001,52.299999,52.270912,7257000
2021-04-26,52.57,52.855,52.389999,52.634998,52.605724,6124400
2021-04-27,52.744999,52.82,52.139999,52.580002,52.550758,5314200
2021-04-28,52.700001,53.145,52.369999,52.505001,52.4758,7077600
2021-04-29,53.654999,53.779999,52.174999,53.485001,53.455254,8503400
2021-04-30,52.619999,52.965,52.125,52.474998,52.445812,10135200
2021-05-03,53.25,53.424999,52.615002,52.814999,52.785625,6332400
2021-05-04,52.005001,52.200001,50.345001,51.84,51.811169,13769600
2021-05-05,52.5,52.575001,51.575001,51.834999,51.806171,7332800
2021-05-06,51.91,53.150002,51.095001,53.084999,53.055473,8457200
2021-05-07,53.419998,54.535,53.150002,54.259998,54.22982,9123200
2021-05-10,54.43,54.5,52.595001,52.650002,52.62072,9577000
2021-05-11,50.805,51.625,49.669998,51.27,51.241486,13711000
2021-05-12,50.115002,50.625,47.744999,48.005001,47.978302,14976400
2021-05-13,48.540001,50.419998,48.540001,49.669998,49.642372,14824200
2021-05-14,50.755001,52.305,50.744999,51.965,51.9361,9549200
2021-05-17,51.535,51.904999,50.775002,51.575001,51.546318,10020200
2021-05-18,51.695,51.764999,50.185001,50.279999,50.252033,6724600
2021-05-19,48.384998,49.895,47.814999,49.845001,49.81728,10097600
2021-05-20,50.185001,51.93,50.139999,51.439999,51.411388,7333600
2021-05-21,52.055,52.529999,51.134998,51.314999,51.286457,7418000
2021-05-24,52.240002,53.310001,52.110001,52.884998,52.855587,5101200
2021-05-25,53.310001,53.465,52.299999,52.540001,52.51078,6072600
2021-05-26,52.764999,53.044998,52.355,52.849998,52.820606,3656200
2021-05-27,53.264999,53.455002,52.869999,52.880001,52.85059,7473000
2021-05-28,53.549999,53.66,53.110001,53.189999,53.160416,5644200
2021-06-01,54.165001,54.209999,52.880001,53.035,53.005505,5707600
2021-06-02,53.305,53.639999,52.915001,53.310001,53.280354,4335800
2021-06-03,52.34,53.169998,51.755001,52.715,52.68568,7609400
2021-06-04,53.445,54.264999,53.424999,54.105,54.074909,6013200
2021-06-07,54.134998,54.215,53.610001,54.02,53.989956,3919800
2021-06-08,54.349998,54.375,53.275002,54.035,54.004948,4733600
2021-06-09,54.380001,54.389999,53.68,53.779999,53.750088,4553200
2021-06-10,54.294998,54.904999,53.744999,54.525002,54.494675,5438400
2021-06-11,54.755001,54.834999,54.224998,54.794998,54.764523,4152000
2021-06-14,54.82,55.185001,54.325001,55.18,55.149311,4601800
2021-06-15,55.224998,55.224998,54.494999,54.845001,54.814499,4773600
2021-06-16,54.93,54.990002,53.055,53.945,53.914997,7662600
2021-06-17,53.764999,54.255001,52.860001,53.904999,53.875019,7110200
2021-06-18,52.549999,52.794998,51.615002,51.735001,51.706226,11185000
2021-06-21,52.395,53.990002,52.075001,53.924999,53.895008,9854600
2021-06-22,53.919998,55.115002,53.610001,54.73,54.699562,8762400
2021-06-23,54.799999,55.130001,54.535,54.580002,54.549644,4960800
2021-06-24,55.435001,55.724998,55.345001,55.535,55.504112,9034000
2021-06-25,55.860001,56.294998,55.705002,56.110001,56.078793,6309800
2021-06-28,56.330002,56.52,55.825001,56.474998,56.443588,9842200
2021-06-29,56.615002,56.880001,56.330002,56.540001,56.508556,6301600
2021-06-30,56.375,56.959999,56.349998,56.695,56.663467,8498800
2021-07-01,57.009998,57.689999,56.974998,57.645,57.612942,9977200
2021-07-02,58.095001,59.084999,57.974998,58.959999,58.927208,10956200
2021-07-06,58.950001,59.040001,57.424999,58.575001,58.542423,8983200
